release_year;mean_acousticness;mean_danceability;mean_energy;mean_instrumentalness;mean_liveness;mean_loudness;mean_speechiness;mean_valence;mean_duration_ms;mean_popularity;mean_tempo
1921;0.886896;0.418597333333334;0.231815133333333;0.344878058866667;0.20571;-17.0486666666667;0.073662;0.379326666666667;260537;0;101.531493333333
1922;0.938591549295775;0.482042253521127;0.237815352112676;0.43419486971831;0.240719718309859;-19.2752816901408;0.116654929577465;0.535549295774648;165469;0;100.884521126761
1923;0.957246791351351;0.57734054054054;0.262406486486486;0.371732725027027;0.227462162162162;-14.1292108108108;0.0939486486486487;0.625492432432433;177942;5;114.01072972973
1924;0.940199860169493;0.54989406779661;0.344346610169491;0.581700913644068;0.23521906779661;-14.231343220339;0.092089406779661;0.663725423728814;191046;0;120.689572033898
1925;0.962607050359713;0.573863309352518;0.278593525179856;0.418297361223022;0.237667985611511;-14.1464136690647;0.111917985611511;0.621928776978417;184986;2;115.521920863309
1926;0.660817216981133;0.599880261248186;0.211467090711176;0.333093111117562;0.232369593613933;-18.4925384615385;0.483703628447025;0.436910457184325;156881;1;109.648032656023
1927;0.936179455284554;0.648268292682927;0.264321300813008;0.391328498650407;0.168450243902439;-14.4223739837398;0.113609593495935;0.659700487804878;184993;0;114.846523577236
1928;0.938616503568598;0.534287866772403;0.207947795400476;0.494835480134814;0.175289373513085;-17.1919825535289;0.159911498810468;0.495712688342585;214827;1;106.772261697066
1929;0.601426586134454;0.647669852941176;0.241800735294118;0.215204031060924;0.236000210084034;-16.5303760504202;0.490000735294118;0.636529831932773;168999;0;110.948357142857
1930;0.936714937370064;0.518175883575884;0.333523918918919;0.352205928165281;0.221310862785863;-12.8692214137214;0.119909667359667;0.616237629937631;195150;0;109.871194386694
1931;0.833039958592132;0.595221739130435;0.234496773291925;0.221419641614907;0.227427950310559;-16.5160942028986;0.453618944099379;0.513117080745341;171553;0;109.025281573499
1932;0.935770517928287;0.557797609561753;0.302067729083665;0.226356579163347;0.232496215139442;-13.3640557768924;0.139007370517928;0.588159960159363;195749;2;115.119800796813
1933;0.899897909117222;0.570290303907381;0.279899421128799;0.183948939681621;0.209071924746744;-13.069008683068;0.0911231548480463;0.59940998552822;196219;6;112.522
1934;0.891148750173011;0.528705882352941;0.262131314878893;0.276382266643598;0.213452595155709;-14.756875432526;0.102456920415225;0.558804671280277;189356;1;115.390846020761
1935;0.778385559947299;0.555869169960474;0.246366976284585;0.225873298089591;0.229299868247694;-15.4147496706192;0.353912384716732;0.545577799736495;220124;1;110.667956521739
1936;0.77231208;0.558005545454546;0.308388609272727;0.257109995718182;0.221438272727273;-14.6129990909091;0.279029363636363;0.564063545454545;220809;5;109.888754545455
1937;0.865435785388128;0.542157229832572;0.311048295281583;0.327087621643836;0.225967732115677;-13.1151430745814;0.0856788432267884;0.585789497716895;223216;3;115.263222222222
1938;0.919280390864601;0.479977977161501;0.280981239804241;0.378424634926591;0.237111092985318;-14.2905823817292;0.0959572593800979;0.514911109298532;249177;2;111.625327895595
1939;0.908738100000001;0.5126828;0.2826715;0.27768246941;0.2391016;-13.90057;0.1284627;0.5599249;221602;4;113.174592
1940;0.847644050000001;0.52189235;0.310892895;0.316848699865;0.2643351;-13.684048;0.24295765;0.61670947;182227;0;108.4493345
1941;0.89573765625;0.480481354166667;0.265643197916667;0.4449516393125;0.201839895833333;-15.7555364583333;0.0913652083333333;0.479456041666667;201904;1;107.915122916667
1942;0.852934370392391;0.464633888228299;0.256079470868014;0.392882047871581;0.212878418549346;-15.0290321046373;0.083678359096314;0.477408858501784;222361;1;106.008397740785
1943;0.90275231859155;0.455145633802817;0.279990042253521;0.409896923464789;0.239210704225352;-13.6021253521127;0.105719577464789;0.495454507042253;240119;1;106.196791549296
1944;0.907653191489362;0.500174468085107;0.253441449468085;0.449291965412234;0.238771941489362;-14.5820558510638;0.173283244680851;0.540695478723404;245555;3;105.963929521277
1945;0.709656863000001;0.51914315;0.2260444155;0.275894257015;0.20300995;-16.9814715;0.3050973;0.49136135;196161;2;108.3240705
1946;0.91994458236659;0.414445011600928;0.222172308584687;0.486126409646172;0.210818329466357;-16.921774361949;0.0880059164733179;0.398253828306264;267677;1;103.164555104408
1947;0.913965022424243;0.471320848484848;0.2635512;0.347593417909091;0.223829393939394;-14.3776078787879;0.100563818181818;0.508212545454545;233137;1;108.991026060606
1948;0.922155000000002;0.46336947368421;0.242464841052632;0.35548482238421;0.219693578947368;-15.505407368421;0.164359315789474;0.462142368421053;199194;1;108.058361052632
1949;0.907532895000002;0.4421994;0.246114615;0.29776153619;0.20885855;-15.525845;0.1029921;0.4304195;223199;3;108.8731355
1950;0.853941300600001;0.5042531;0.314071195;0.245000820015;0.2169584;-13.8638345;0.15345275;0.5516497;215073;3;111.749725
1951;0.902297195650002;0.4624801;0.254665655;0.308437855585;0.2177774;-15.812066;0.10850665;0.44134755;213154;3;109.625872
1952;0.874300924500001;0.4570322;0.25362601;0.28841264693;0.2329723;-15.958866;0.1373618;0.44313496205;229434;3;108.2322805
1953;0.890922350256412;0.437426051282051;0.266196830769231;0.318322394323077;0.221734051282051;-15.4991348717949;0.0900882564102563;0.429142051282051;217455;3;110.025566666667
1954;0.865019727300001;0.4656389;0.264347385;0.29744000828;0.21784115;-15.4080045;0.1048133;0.45234105;224029;7;108.7130925
1955;0.840551007000001;0.4881312;0.29509634;0.21660442169;0.22143535;-13.842262;0.0895582;0.4724155;222137;10;111.0212795
